,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,120,0,3112,4171.538,4187.0509999999995,4169.359,4222.436,4175.0,4205.255999999999,4177.9490000000005,4173.205,4150.385,4154.744000000001,4168.718,4170.897,4180.513,4175.513,0,0
1,121,0,3245,4168.846,4189.231,4159.103,4213.718,4196.41,4203.846,4170.769,4167.564,4155.513,4158.846,4166.795,4167.308,4184.744000000001,4173.718,0,0
2,122,0,3418,4184.872,4208.205,4178.077,4230.255999999999,4176.41,4206.667,4173.333,4170.255999999999,4160.0,4170.385,4178.205,4181.923,4190.255999999999,4184.487,0,0
3,123,0,3288,4185.513,4200.513,4190.641,4229.103,4164.359,4198.974,4168.077,4166.154,4156.282,4164.359,4178.205,4187.0509999999995,4184.359,4185.0,0,0
4,124,0,3112,4165.385,4180.769,4165.769,4203.462,4180.128,4184.359,4147.821,4148.205,4144.359,4146.795,4165.0,4172.308,4168.077,4166.795,0,0
5,125,0,3245,4173.205,4201.795,4166.795,4228.846,4187.692,4192.308,4158.59,4159.615,4151.538,4157.821,4172.0509999999995,4179.615,4178.59,4177.436,0,0
6,126,0,3418,4202.436,4226.667,4200.513,4272.0509999999995,4170.769,4214.872,4193.974,4192.9490000000005,4179.359,4185.128,4193.59,4204.872,4207.179,4205.255999999999,0,0
7,127,0,54,4194.231,4209.359,4192.0509999999995,4244.231,4159.744000000001,4212.436,4188.333,4187.0509999999995,4176.41,4177.308,4188.333,4195.385,4197.179,4193.333,0,0
8,0,0,3155,4178.205,4202.821,4172.308,4219.487,4190.255999999999,4203.205,4165.641,4168.718,4159.872,4162.179,4180.385,4184.872,4177.821,4179.231,0,0
9,1,0,3356,4195.128,4222.564,4193.718,4248.205,4218.077,4217.179,4173.59,4183.718,4177.436,4175.0,4193.846,4203.718,4192.9490000000005,4198.077,0,0
10,2,0,2869,4199.615,4220.0,4202.308,4260.128,4191.667,4227.564,4180.769,4192.821,4189.872,4183.077,4188.718,4202.9490000000005,4203.462,4201.795,0,0
11,3,0,3543,4178.59,4201.667,4176.282,4235.0,4169.872,4218.333,4176.41,4180.769,4175.641,4168.59,4167.9490000000005,4181.026,4186.667,4175.641,0,0
12,4,0,3612,4173.846,4197.692,4168.718,4227.692,4188.462,4218.205,4181.923,4185.385,4175.385,4165.513,4174.103,4183.333,4179.744000000001,4170.255999999999,0,0
13,5,0,2776,4189.359,4206.795,4186.923,4248.333,4195.897,4229.744000000001,4190.769,4204.231,4191.795,4182.9490000000005,4194.615,4202.308,4196.026,4189.872,0,0
14,6,0,3297,4185.0,4205.0,4185.641,4242.308,4184.231,4218.59,4186.538,4205.513,4191.923,4184.615,4190.513,4194.872,4201.795,4189.103,0,0
15,7,0,3408,4162.821,4182.179,4162.308,4216.923,4176.282,4197.436,4172.179,4186.538,4169.359,4159.103,4163.846,4164.487,4180.255999999999,4160.769,0,0
16,8,0,3210,4152.9490000000005,4174.103,4152.179,4215.641,4178.846,4205.769,4170.128,4175.128,4154.231,4143.846,4148.59,4155.897,4168.333,4146.026,0,0
17,9,0,3570,4178.718,4198.333,4181.667,4243.974,4190.128,4231.154,4192.0509999999995,4189.487,4170.255999999999,4165.255999999999,4169.615,4189.487,4189.615,4174.615,0,0
18,10,0,3421,4200.128,4212.821,4200.897,4260.897,4199.231,4229.487,4203.333,4200.897,4189.487,4186.282,4198.205,4212.308,4208.077,4200.128,0,0
19,11,0,3292,4187.308,4198.59,4185.385,4248.718,4193.718,4210.513,4189.359,4192.436,4181.667,4181.41,4195.385,4199.487,4198.333,4191.795,0,0
20,12,0,3129,4170.769,4186.41,4174.359,4233.462,4182.179,4212.821,4181.154,4181.667,4170.0,4176.41,4184.231,4187.692,4186.923,4179.872,0,0
21,13,0,3250,4168.59,4183.462,4174.103,4224.103,4177.821,4224.487,4177.179,4175.0,4172.179,4177.308,4181.667,4186.923,4188.205,4174.744000000001,0,0
22,14,0,3421,4163.205,4173.59,4168.333,4228.462,4170.641,4215.0,4165.0,4170.255999999999,4170.769,4172.0509999999995,4175.255999999999,4183.333,4186.795,4163.333,0,0
23,15,0,3292,4159.615,4166.923,4172.436,4237.9490000000005,4165.255999999999,4201.41,4164.487,4175.897,4163.462,4165.128,4171.538,4181.154,4179.872,4158.846,0,0
24,16,0,0,4177.821,4182.179,4194.231,4250.769,4177.692,4212.564,4189.615,4197.0509999999995,4171.923,4175.641,4182.564,4192.436,4191.667,4182.179,0,0
25,17,0,0,4192.821,4196.41,4195.128,4256.667,4188.077,4224.487,4205.128,4203.205,4183.718,4188.333,4187.9490000000005,4200.513,4209.872,4197.564,0,0
26,18,0,0,4174.103,4174.744000000001,4166.795,4237.308,4172.0509999999995,4210.641,4185.769,4176.026,4165.769,4169.487,4170.385,4183.59,4190.769,4170.513,0,0
27,19,0,0,4150.0,4146.41,4151.154,4221.282,4157.436,4199.487,4168.974,4156.795,4142.179,4148.205,4157.308,4166.154,4164.872,4144.103,0,0
28,20,0,0,4165.0,4156.282,4174.231,4235.255999999999,4170.0,4214.615,4178.205,4172.692,4152.308,4163.846,4170.897,4185.255999999999,4181.923,4164.487,0,0
29,21,0,0,4195.128,4186.41,4201.41,4257.308,4192.9490000000005,4228.718,4192.821,4193.974,4178.846,4190.0,4197.0509999999995,4215.769,4210.641,4199.744000000001,0,0
30,22,0,0,4193.077,4192.436,4194.359,4259.487,4196.154,4223.077,4192.179,4186.667,4176.923,4181.667,4196.41,4208.846,4202.179,4194.872,0,0
31,23,0,0,4165.641,4167.564,4169.615,4232.692,4175.255999999999,4215.513,4176.667,4165.385,4152.692,4159.231,4166.795,4175.769,4176.026,4162.0509999999995,0,0
32,24,0,0,4163.846,4156.154,4172.564,4221.41,4170.385,4225.641,4175.385,4172.9490000000005,4153.462,4165.0,4162.564,4174.231,4176.026,4158.333,0,0
33,25,0,0,4176.282,4170.0,4186.282,4245.897,4179.231,4236.026,4191.923,4192.0509999999995,4169.744000000001,4180.0,4190.0,4192.179,4191.667,4175.641,0,0
34,26,0,0,4165.0,4163.846,4169.359,4246.923,4164.615,4224.615,4183.077,4177.692,4158.205,4167.9490000000005,4187.692,4179.231,4182.9490000000005,4166.667,0,0
35,27,0,0,4153.846,4149.487,4158.462,4225.0,4160.769,4216.923,4174.744000000001,4172.179,4152.564,4157.436,4169.744000000001,4167.0509999999995,4171.923,4153.462,0,0
36,28,0,0,4169.487,4154.872,4177.179,4229.231,4182.692,4229.615,4196.41,4187.0509999999995,4170.255999999999,4167.0509999999995,4183.077,4183.974,4188.974,4167.692,0,0
37,29,0,0,4168.846,4153.077,4172.821,4231.923,4182.179,4225.128,4192.564,4171.41,4165.385,4163.59,4181.41,4178.333,4192.9490000000005,4166.667,0,0
38,30,0,0,4155.385,4150.769,4161.667,4223.59,4173.333,4213.718,4170.769,4164.744000000001,4157.436,4160.769,4163.205,4163.59,4180.0,4156.282,0,0
39,31,0,0,4177.564,4171.923,4189.359,4244.103,4188.333,4232.564,4190.385,4196.667,4182.692,4185.513,4187.436,4191.795,4197.308,4187.821,0,0
40,32,0,0,4199.872,4179.872,4208.333,4261.41,4189.744000000001,4245.769,4212.564,4204.872,4195.255999999999,4205.255999999999,4211.667,4213.59,4213.077,4215.513,0,0
41,33,0,0,4185.0,4165.0,4190.128,4245.385,4178.718,4228.846,4194.872,4187.308,4177.821,4201.538,4189.103,4195.385,4198.718,4195.897,0,0
42,34,0,0,4175.255999999999,4160.769,4182.308,4240.385,4185.255999999999,4223.718,4185.0,4180.641,4167.564,4195.513,4179.103,4184.359,4190.513,4181.154,0,0
43,35,0,0,4191.795,4167.179,4198.59,4251.923,4192.436,4236.923,4199.615,4180.641,4171.667,4199.872,4204.359,4199.615,4195.513,4197.308,0,0
44,36,0,0,4190.0,4157.692,4197.9490000000005,4244.359,4184.231,4230.255999999999,4196.795,4181.154,4172.564,4195.255999999999,4203.846,4201.667,4187.564,4200.769,0,0
45,37,0,0,4175.385,4138.333,4184.615,4225.0,4162.308,4214.359,4181.026,4181.282,4167.179,4179.487,4184.359,4187.564,4177.179,4187.436,0,0
46,38,0,0,4182.308,4143.846,4184.231,4227.179,4161.538,4223.846,4187.9490000000005,4186.795,4176.41,4197.436,4188.59,4187.564,4189.359,4186.795,0,0
47,39,0,0,4199.359,4167.821,4196.667,4243.974,4191.538,4245.513,4204.744000000001,4204.103,4198.333,4240.769,4199.487,4198.333,4204.487,4197.436,0,0
48,40,0,0,4191.538,4163.974,4193.205,4239.487,4193.462,4237.308,4191.154,4204.103,4198.974,4243.462,4190.513,4194.487,4197.821,4193.718,0,0
49,41,0,0,4174.872,4130.897,4178.718,4217.308,4160.513,4216.41,4171.538,4177.692,4177.436,4212.179,4180.0,4181.282,4177.9490000000005,4177.0509999999995,0,0
50,42,0,0,4182.308,4128.077,4183.846,4219.103,4160.513,4226.923,4180.255999999999,4175.513,4177.179,4222.564,4190.255999999999,4187.692,4184.359,4179.615,0,0
51,43,0,0,4193.59,4150.0,4193.205,4236.026,4190.255999999999,4239.487,4190.385,4195.897,4184.615,4249.359,4195.769,4197.692,4201.795,4188.718,0,0
52,44,0,0,4187.9490000000005,4154.615,4192.308,4235.128,4191.282,4229.487,4190.255999999999,4201.667,4177.308,4243.462,4194.872,4193.846,4196.538,4185.513,0,0
53,45,0,0,4190.255999999999,4148.333,4201.538,4233.333,4171.282,4227.436,4200.128,4200.128,4186.923,4242.308,4204.872,4200.385,4193.077,4191.667,0,0
54,46,0,0,4197.436,4145.0,4210.255999999999,4241.154,4179.744000000001,4237.436,4208.59,4206.282,4204.872,4258.846,4213.462,4209.744000000001,4203.333,4200.641,0,0
55,47,0,0,4179.744000000001,4131.795,4188.59,4226.154,4202.9490000000005,4234.103,4194.231,4200.128,4191.795,4249.103,4202.0509999999995,4191.282,4201.026,4182.9490000000005,0,0
56,48,0,0,4160.128,4113.974,4170.255999999999,4213.59,4178.077,4222.692,4181.795,4184.615,4174.359,4222.0509999999995,4177.821,4167.0509999999995,4186.538,4160.897,0,0
57,49,0,0,4162.692,4115.385,4177.692,4231.41,4137.821,4216.282,4186.026,4184.103,4179.615,4218.974,4167.0509999999995,4167.179,4182.564,4157.179,0,0
58,50,0,0,4169.103,4127.0509999999995,4182.308,4236.538,4161.923,4215.641,4191.41,4190.255999999999,4182.692,4224.487,4175.385,4176.282,4186.41,4160.255999999999,0,0
59,51,0,0,4169.615,4131.795,4180.769,4222.821,4201.667,4223.077,4194.615,4194.103,4180.513,4221.923,4184.615,4180.769,4192.692,4167.308,0,0
60,52,0,0,4178.077,4134.359,4187.436,4226.538,4197.564,4227.436,4194.615,4198.974,4186.667,4221.026,4184.615,4186.41,4201.538,4177.179,0,0
61,53,0,0,4186.41,4137.564,4192.9490000000005,4238.718,4183.205,4219.487,4189.231,4199.487,4189.103,4219.359,4183.718,4184.615,4198.205,4177.0509999999995,0,0
62,54,0,0,4184.359,4134.615,4192.9490000000005,4236.795,4169.487,4215.255999999999,4185.255999999999,4190.385,4176.41,4205.0,4178.077,4178.205,4183.846,4169.872,0,0
63,55,0,0,4162.436,4117.9490000000005,4168.333,4214.103,4154.744000000001,4207.692,4177.9490000000005,4171.41,4151.667,4174.103,4154.487,4164.615,4164.359,4150.128,0,0
64,56,0,0,4155.897,4117.308,4156.667,4199.615,4159.359,4202.436,4187.0509999999995,4176.538,4149.487,4166.923,4155.255999999999,4168.333,4162.692,4149.103,0,0
65,57,0,0,4182.692,4153.077,4191.667,4220.0,4186.026,4220.641,4214.744000000001,4208.077,4179.231,4197.692,4190.255999999999,4198.462,4188.077,4185.128,0,0
66,58,0,0,4205.385,4185.0,4210.513,4245.385,4207.564,4238.718,4214.487,4213.846,4188.974,4208.718,4206.795,4211.667,4199.744000000001,4209.231,0,0
