,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,32,0,0,4198.205,4198.59,4183.205,4184.615,4180.128,4183.205,4189.103,4188.205,4184.487,4189.615,4205.513,4176.923,4187.9490000000005,4200.897,0,0
1,33,0,0,4200.897,4199.231,4185.513,4185.897,4184.872,4183.205,4193.718,4186.795,4184.487,4190.385,4202.0509999999995,4179.872,4191.026,4202.821,0,0
2,34,0,0,4200.513,4198.718,4183.59,4186.154,4188.077,4180.769,4197.308,4184.103,4182.692,4179.103,4197.308,4176.282,4187.821,4204.615,0,0
3,35,0,0,4197.9490000000005,4195.513,4178.59,4187.692,4187.692,4178.846,4196.026,4185.513,4183.462,4176.282,4198.205,4171.026,4186.538,4200.513,0,0
4,36,0,0,4198.205,4195.385,4177.9490000000005,4192.564,4181.667,4182.564,4195.513,4187.9490000000005,4184.615,4180.897,4202.692,4175.513,4195.385,4198.59,0,0
5,37,0,0,4198.974,4198.846,4180.641,4199.487,4182.0509999999995,4189.103,4203.077,4189.744000000001,4183.462,4183.205,4203.846,4179.744000000001,4202.692,4201.538,0,0
6,38,0,0,4197.0509999999995,4200.769,4181.026,4198.974,4191.667,4186.795,4211.282,4192.0509999999995,4183.205,4188.846,4198.59,4176.538,4200.255999999999,4202.692,0,0
7,39,0,0,4197.9490000000005,4200.385,4180.513,4196.795,4199.487,4185.128,4210.641,4192.692,4185.385,4197.564,4202.436,4178.333,4202.0509999999995,4202.436,0,0
8,40,0,0,4198.205,4201.41,4185.128,4195.769,4198.846,4188.974,4204.615,4190.769,4187.564,4204.103,4210.897,4181.923,4209.615,4202.9490000000005,0,0
9,41,0,0,4191.923,4201.41,4181.667,4192.9490000000005,4192.821,4184.231,4198.974,4187.692,4186.026,4202.308,4207.436,4178.205,4205.769,4203.462,0,0
10,42,0,0,4185.769,4198.205,4171.923,4190.513,4189.231,4179.744000000001,4197.436,4187.0509999999995,4184.872,4196.282,4203.846,4175.769,4199.359,4200.385,0,0
11,43,0,0,4188.846,4198.718,4173.846,4190.641,4191.795,4186.667,4201.538,4188.205,4185.255999999999,4198.333,4207.308,4178.974,4203.077,4201.538,0,0
12,44,0,0,4193.077,4201.923,4179.615,4191.282,4191.41,4189.231,4200.641,4189.359,4184.615,4197.821,4203.462,4176.923,4206.154,4203.077,0,0
13,45,0,0,4187.564,4197.821,4179.872,4194.487,4182.436,4181.795,4187.692,4185.513,4182.9490000000005,4185.385,4193.718,4171.923,4200.513,4193.846,0,0
14,46,0,0,4184.487,4193.718,4180.769,4198.718,4183.974,4182.0509999999995,4186.41,4185.0,4184.231,4183.718,4199.487,4172.308,4199.744000000001,4193.077,0,0
