,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,96,0,2281,4175.128,4143.462,4169.615,4129.231,4212.308,4177.821,4184.359,4190.897,4202.564,4190.0,4166.667,4137.0509999999995,4182.692,4134.231,0,0
1,97,0,3273,4176.154,4141.795,4168.462,4136.667,4207.179,4182.0509999999995,4189.103,4180.897,4199.744000000001,4185.641,4166.282,4140.897,4185.769,4130.128,0,0
2,98,0,2958,4170.769,4126.026,4158.077,4125.385,4199.487,4185.513,4188.59,4172.9490000000005,4189.487,4171.282,4158.205,4136.41,4184.359,4131.026,0,0
3,99,0,2843,4166.026,4125.128,4154.872,4117.821,4201.282,4181.923,4181.667,4163.718,4179.359,4156.282,4150.385,4131.538,4174.872,4130.769,0,0
4,100,0,2281,4169.615,4132.436,4166.538,4127.9490000000005,4205.0,4186.026,4189.872,4164.872,4181.154,4162.179,4160.513,4140.897,4174.103,4135.513,0,0
5,101,0,3273,4174.103,4138.333,4174.103,4140.128,4203.077,4182.308,4199.103,4175.513,4183.205,4171.154,4173.718,4153.462,4184.359,4142.9490000000005,0,0
6,102,0,2958,4173.718,4139.487,4174.103,4139.231,4203.333,4156.026,4191.795,4180.385,4186.282,4164.615,4171.154,4155.255999999999,4188.718,4146.026,0,0
7,103,0,2843,4176.923,4130.769,4174.615,4134.231,4202.179,4148.718,4184.231,4192.0509999999995,4198.718,4177.308,4170.255999999999,4155.769,4186.538,4150.897,0,0
8,104,0,2281,4185.641,4126.282,4179.744000000001,4135.385,4190.0,4163.205,4188.077,4203.205,4203.077,4197.692,4178.846,4163.59,4186.282,4156.282,0,0
9,105,0,3273,4183.462,4131.667,4181.154,4137.821,4182.564,4160.897,4189.103,4194.487,4197.9490000000005,4180.0,4177.692,4164.359,4186.41,4153.462,0,0
10,106,0,2958,4173.462,4133.462,4174.103,4135.128,4190.385,4150.385,4185.513,4183.59,4198.974,4171.026,4169.231,4157.308,4184.872,4151.41,0,0
11,107,0,2843,4170.385,4125.255999999999,4168.333,4133.462,4194.744000000001,4151.026,4186.282,4182.692,4196.154,4183.205,4170.641,4154.487,4177.9490000000005,4149.103,0,0
12,108,0,2281,4165.255999999999,4122.308,4169.487,4136.41,4183.205,4153.333,4185.513,4175.513,4185.769,4164.615,4171.282,4150.0,4169.872,4141.667,0,0
13,109,0,3273,4156.154,4130.769,4169.487,4138.205,4183.718,4158.846,4184.744000000001,4167.564,4183.205,4151.795,4157.9490000000005,4141.282,4176.923,4137.692,0,0
14,110,0,2958,4162.308,4138.462,4169.103,4140.641,4199.231,4170.641,4192.308,4172.0509999999995,4187.692,4168.846,4152.821,4138.077,4185.897,4138.462,0,0
15,111,0,2843,4168.205,4136.923,4170.385,4143.462,4193.077,4172.564,4200.769,4172.308,4189.615,4165.0,4168.333,4139.359,4177.436,4138.718,0,0
16,112,0,2281,4158.077,4124.487,4169.359,4141.538,4168.974,4166.026,4200.0,4171.667,4187.9490000000005,4148.974,4174.487,4140.0,4168.205,4137.436,0,0
17,113,0,3273,4149.615,4117.308,4166.154,4137.308,4162.564,4160.255999999999,4192.308,4177.564,4182.9490000000005,4151.667,4160.385,4138.974,4170.255999999999,4133.333,0,0
18,114,0,2958,4146.538,4123.333,4158.077,4137.0509999999995,4178.333,4154.103,4186.667,4174.872,4183.974,4151.41,4150.255999999999,4131.667,4171.282,4125.897,0,0
19,115,0,2843,4143.077,4126.026,4153.462,4137.692,4185.513,4158.205,4186.667,4171.923,4195.769,4152.308,4153.718,4124.359,4167.308,4122.821,0,0
20,116,0,2281,4147.308,4120.641,4160.385,4135.897,4171.795,4171.282,4189.103,4182.308,4204.359,4170.255999999999,4155.897,4131.154,4169.744000000001,4130.128,0,0
21,117,0,3273,4156.795,4120.641,4167.9490000000005,4139.103,4164.615,4171.795,4189.487,4190.769,4206.538,4181.538,4158.974,4146.154,4180.641,4143.333,0,0
22,118,0,2958,4159.744000000001,4131.026,4169.359,4142.692,4181.538,4157.179,4188.59,4189.615,4204.487,4182.821,4167.692,4150.641,4186.41,4153.846,0,0
23,119,0,2843,4162.0509999999995,4136.667,4169.103,4136.667,4191.282,4148.974,4185.897,4181.538,4192.179,4166.795,4173.718,4144.615,4182.9490000000005,4154.359,0,0
24,120,0,2281,4168.974,4136.795,4169.103,4141.41,4168.077,4161.538,4188.077,4173.59,4185.641,4137.9490000000005,4173.974,4141.923,4182.821,4153.462,0,0
25,121,0,3273,4170.385,4140.641,4170.385,4157.0509999999995,4150.513,4171.41,4196.41,4177.436,4189.359,4140.128,4168.077,4144.103,4183.974,4154.103,0,0
26,122,0,2958,4159.487,4136.538,4170.0,4148.974,4164.615,4160.255999999999,4194.231,4179.615,4183.333,4153.846,4156.538,4140.0,4175.385,4146.667,0,0
27,123,0,2843,4146.923,4123.077,4165.897,4131.026,4172.436,4154.103,4183.974,4168.077,4174.872,4140.897,4149.359,4132.821,4168.333,4135.769,0,0
28,124,0,2281,4150.897,4125.769,4167.179,4142.436,4162.308,4166.026,4187.692,4164.872,4177.9490000000005,4133.462,4149.359,4135.0,4165.513,4133.846,0,0
29,125,0,3273,4157.9490000000005,4140.0,4172.0509999999995,4157.564,4161.538,4176.282,4200.769,4176.923,4190.385,4138.974,4157.564,4142.821,4167.692,4141.538,0,0
30,126,0,2958,4153.974,4138.718,4170.385,4149.615,4166.923,4171.538,4197.564,4184.103,4198.462,4139.359,4169.615,4150.385,4179.359,4149.103,0,0
31,127,0,52,4159.231,4138.205,4170.641,4147.564,4170.513,4158.846,4188.974,4187.692,4199.487,4157.564,4175.385,4159.744000000001,4187.564,4157.0509999999995,0,0
32,0,0,2164,4173.846,4152.821,4176.41,4158.205,4172.0509999999995,4157.0509999999995,4193.846,4195.0,4207.0509999999995,4184.231,4179.359,4168.333,4190.255999999999,4166.795,0,0
33,1,0,1940,4174.744000000001,4159.487,4177.0509999999995,4160.897,4167.179,4170.897,4202.179,4202.179,4215.0,4172.0509999999995,4188.846,4170.641,4198.718,4172.179,0,0
34,2,0,3388,4165.385,4151.41,4169.744000000001,4153.718,4163.59,4171.154,4204.872,4199.231,4210.0,4151.795,4183.462,4164.231,4199.744000000001,4169.615,0,0
35,3,0,3290,4167.564,4153.59,4171.026,4158.205,4168.718,4159.231,4198.974,4190.641,4201.026,4158.333,4174.231,4164.359,4188.077,4169.615,0,0
36,4,0,2738,4174.487,4161.154,4181.538,4167.436,4172.179,4160.769,4189.872,4186.795,4196.154,4148.462,4182.821,4168.846,4183.974,4175.0,0,0
37,5,0,2364,4171.026,4155.897,4180.897,4161.154,4171.41,4170.128,4185.128,4172.0509999999995,4181.538,4116.026,4177.436,4159.487,4184.359,4171.795,0,0
38,6,0,2329,4169.359,4156.282,4175.769,4158.846,4173.205,4170.513,4185.897,4149.359,4162.564,4113.077,4155.255999999999,4149.103,4174.487,4164.615,0,0
39,7,0,2909,4175.641,4170.255999999999,4182.179,4171.923,4170.255999999999,4162.0509999999995,4185.897,4153.077,4163.077,4122.0509999999995,4158.333,4154.487,4166.41,4165.897,0,0
40,8,0,2366,4176.282,4174.615,4186.026,4174.103,4178.077,4158.077,4184.615,4167.436,4173.462,4105.0,4169.103,4157.436,4166.026,4168.205,0,0
41,9,0,3501,4171.026,4162.564,4181.154,4165.513,4190.769,4168.846,4186.667,4166.923,4184.487,4110.255999999999,4163.974,4156.795,4169.744000000001,4166.667,0,0
42,10,0,2962,4172.821,4158.59,4181.282,4167.0509999999995,4176.026,4177.564,4188.59,4176.538,4193.846,4146.795,4171.795,4168.59,4178.077,4171.026,0,0
43,11,0,2848,4174.487,4161.795,4179.231,4166.667,4158.718,4168.718,4192.0509999999995,4199.103,4200.385,4164.744000000001,4186.026,4175.128,4184.744000000001,4173.846,0,0
44,12,0,2280,4171.026,4159.231,4174.744000000001,4160.513,4169.615,4164.872,4197.564,4212.0509999999995,4210.641,4177.564,4183.333,4168.462,4187.0509999999995,4169.615,0,0
45,13,0,3273,4171.667,4160.513,4179.231,4163.846,4181.667,4173.974,4202.308,4220.769,4221.154,4189.744000000001,4184.231,4172.0509999999995,4191.667,4176.538,0,0
46,14,0,2962,4174.103,4173.077,4178.333,4170.385,4175.769,4169.103,4198.846,4218.59,4219.231,4170.513,4191.538,4175.641,4193.333,4184.872,0,0
47,15,0,2848,4171.795,4176.026,4170.0,4167.308,4168.846,4156.41,4189.231,4198.59,4206.923,4143.59,4183.462,4164.487,4182.9490000000005,4175.897,0,0
