,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,94,0,3439,4167.692,4182.564,4160.0,4167.9490000000005,4150.128,4157.179,4144.744000000001,4158.205,4174.872,4158.333,4160.513,4161.41,4153.59,4155.0,0,0
1,95,0,3459,4170.897,4184.103,4155.897,4169.103,4152.821,4151.026,4136.026,4156.538,4172.0509999999995,4166.154,4156.026,4157.692,4157.0509999999995,4158.59,0,0
2,96,0,3043,4163.718,4183.077,4149.744000000001,4166.026,4161.41,4157.821,4140.255999999999,4157.0509999999995,4163.974,4166.41,4160.0,4154.359,4160.513,4149.872,0,0
3,97,0,3129,4167.179,4185.255999999999,4154.744000000001,4168.718,4162.9490000000005,4167.821,4143.974,4159.231,4169.487,4168.077,4169.231,4161.538,4163.974,4152.564,0,0
4,98,0,3439,4171.667,4186.026,4156.282,4169.487,4155.513,4161.41,4141.026,4158.205,4177.179,4168.205,4172.0509999999995,4164.744000000001,4166.154,4161.282,0,0
5,99,0,3459,4163.718,4176.923,4149.872,4167.308,4151.795,4149.872,4142.564,4154.744000000001,4174.103,4166.538,4168.462,4158.462,4165.255999999999,4157.821,0,0
6,100,0,3043,4159.615,4170.641,4152.692,4170.897,4158.718,4154.103,4145.897,4157.564,4168.846,4169.744000000001,4170.128,4157.9490000000005,4163.718,4156.795,0,0
7,101,0,3129,4156.795,4170.128,4155.769,4165.769,4153.974,4159.615,4140.385,4158.462,4165.385,4167.436,4168.205,4156.795,4158.462,4153.59,0,0
8,102,0,3439,4151.538,4168.59,4151.667,4155.641,4147.0509999999995,4152.179,4137.0509999999995,4151.795,4163.462,4158.59,4159.359,4150.769,4156.667,4143.462,0,0
9,103,0,3459,4163.718,4175.897,4159.359,4165.641,4160.897,4155.128,4147.308,4160.128,4179.615,4168.333,4165.255999999999,4159.359,4171.795,4152.821,0,0
10,104,0,3043,4187.436,4189.744000000001,4176.795,4180.769,4170.128,4172.179,4158.462,4185.255999999999,4201.538,4194.872,4184.872,4176.154,4188.974,4175.255999999999,0,0
11,105,0,3129,4188.333,4191.154,4175.897,4175.385,4165.641,4173.205,4158.974,4188.59,4193.718,4198.462,4188.077,4172.9490000000005,4188.333,4176.538,0,0
12,106,0,3439,4171.154,4183.846,4167.564,4168.718,4164.359,4158.205,4157.9490000000005,4172.9490000000005,4180.128,4177.692,4181.41,4169.487,4180.641,4171.026,0,0
13,107,0,3459,4166.41,4177.692,4169.487,4167.564,4156.026,4156.667,4153.077,4167.821,4184.359,4169.231,4178.974,4171.923,4176.41,4170.385,0,0
14,108,0,3043,4166.795,4166.667,4164.103,4157.9490000000005,4142.692,4163.718,4140.0,4162.9490000000005,4175.897,4171.154,4163.205,4159.872,4167.692,4157.821,0,0
15,109,0,3129,4166.795,4169.359,4161.026,4158.846,4159.872,4160.769,4141.154,4154.615,4163.205,4167.692,4156.667,4156.282,4167.564,4151.41,0,0
16,110,0,3439,4172.692,4182.9490000000005,4164.103,4167.436,4177.692,4155.641,4149.359,4153.59,4166.282,4158.462,4165.128,4164.615,4166.026,4157.692,0,0
17,111,0,3459,4168.205,4173.718,4155.897,4159.103,4159.487,4158.077,4142.308,4155.128,4168.333,4146.026,4155.128,4158.077,4147.564,4151.41,0,0
18,112,0,3043,4151.667,4151.667,4145.128,4147.692,4144.744000000001,4162.308,4136.795,4150.897,4165.0,4138.077,4140.0,4144.359,4136.538,4136.154,0,0
19,113,0,3129,4153.59,4150.897,4153.205,4157.692,4152.692,4166.282,4146.538,4150.897,4165.255999999999,4139.744000000001,4148.846,4149.872,4149.231,4136.282,0,0
20,114,0,3439,4177.9490000000005,4171.282,4173.205,4175.897,4164.872,4177.179,4161.282,4168.846,4176.41,4157.564,4170.769,4170.128,4175.513,4158.59,0,0
21,115,0,3459,4197.821,4187.692,4186.923,4185.128,4177.436,4187.179,4177.9490000000005,4195.641,4198.846,4189.103,4188.718,4187.179,4199.872,4184.359,0,0
22,116,0,3043,4205.513,4194.744000000001,4194.231,4191.026,4180.385,4184.487,4188.59,4205.769,4210.255999999999,4205.769,4199.615,4197.436,4208.333,4193.846,0,0
23,117,0,3129,4195.897,4184.359,4192.9490000000005,4187.0509999999995,4160.641,4173.974,4175.513,4191.154,4200.897,4196.538,4192.564,4191.026,4191.667,4182.0509999999995,0,0
24,118,0,3439,4174.615,4165.255999999999,4182.179,4173.718,4154.615,4167.308,4154.744000000001,4173.846,4192.436,4180.641,4178.333,4175.513,4172.308,4166.923,0,0
25,119,0,3459,4169.744000000001,4172.821,4171.795,4169.872,4183.718,4168.846,4153.59,4170.641,4184.487,4170.385,4178.846,4171.538,4177.308,4167.821,0,0
26,120,0,3043,4173.462,4183.846,4169.231,4171.795,4193.462,4169.103,4157.308,4171.667,4172.564,4166.154,4174.872,4172.308,4181.923,4168.718,0,0
27,121,0,3129,4166.923,4174.103,4170.769,4166.923,4171.538,4168.59,4149.872,4166.795,4169.359,4171.154,4165.769,4167.692,4168.718,4158.333,0,0
28,122,0,3439,4169.231,4168.718,4170.385,4167.821,4167.692,4171.923,4150.128,4166.41,4176.795,4183.846,4173.205,4169.487,4162.9490000000005,4158.077,0,0
29,123,0,3459,4176.41,4174.231,4170.641,4174.872,4174.103,4172.9490000000005,4155.769,4170.769,4183.974,4186.41,4184.615,4176.282,4170.0,4166.667,0,0
30,124,0,3043,4176.154,4175.385,4173.59,4175.255999999999,4169.231,4169.231,4153.462,4167.179,4180.385,4174.872,4178.077,4176.538,4167.821,4169.744000000001,0,0
31,125,0,3129,4190.0,4183.205,4183.59,4179.615,4178.462,4174.231,4159.103,4169.744000000001,4178.077,4174.231,4178.333,4181.923,4170.128,4178.333,0,0
32,126,0,3439,4204.231,4192.9490000000005,4191.538,4188.077,4184.103,4184.231,4171.282,4184.872,4183.462,4185.255999999999,4195.385,4190.769,4185.641,4190.255999999999,0,0
33,127,0,52,4194.231,4186.282,4186.41,4187.564,4173.974,4185.385,4171.41,4186.667,4186.282,4186.667,4198.077,4190.385,4185.0,4190.255999999999,0,0
34,0,0,3200,4180.0,4176.026,4176.538,4181.282,4179.872,4180.769,4163.59,4173.462,4187.821,4178.59,4187.9490000000005,4181.795,4171.923,4180.255999999999,0,0
35,1,0,2953,4173.974,4170.769,4170.385,4173.077,4186.026,4174.359,4157.9490000000005,4167.179,4184.615,4174.103,4184.103,4170.641,4166.795,4172.308,0,0
36,2,0,3449,4172.0509999999995,4175.769,4168.333,4173.59,4175.255999999999,4167.564,4158.974,4170.0,4174.103,4171.154,4185.255999999999,4168.077,4170.385,4175.641,0,0
37,3,0,3500,4175.897,4184.872,4170.385,4184.103,4172.564,4174.487,4167.179,4170.769,4169.872,4168.974,4187.436,4173.333,4173.974,4182.0509999999995,0,0
38,4,0,3543,4175.897,4176.154,4170.385,4185.385,4171.026,4183.974,4168.462,4167.0509999999995,4173.333,4171.026,4184.487,4170.641,4168.846,4174.744000000001,0,0
39,5,0,3136,4170.897,4164.872,4169.103,4182.9490000000005,4165.128,4176.795,4160.128,4165.897,4172.564,4165.897,4177.0509999999995,4165.769,4158.846,4168.077,0,0
40,6,0,3088,4172.436,4170.641,4167.821,4188.846,4176.923,4167.308,4157.692,4166.538,4174.744000000001,4158.205,4171.795,4166.538,4154.359,4168.718,0,0
41,7,0,3480,4165.385,4169.487,4159.487,4185.641,4167.0509999999995,4168.59,4155.513,4159.615,4173.59,4149.359,4166.282,4157.9490000000005,4152.821,4156.282,0,0
42,8,0,2957,4152.179,4155.0,4152.9490000000005,4181.923,4138.59,4168.333,4151.154,4152.9490000000005,4166.923,4145.769,4164.744000000001,4149.103,4150.0,4147.308,0,0
43,9,0,3597,4157.0509999999995,4150.0,4155.255999999999,4190.255999999999,4145.255999999999,4160.255999999999,4151.795,4156.795,4167.9490000000005,4148.974,4170.128,4158.333,4151.667,4153.59,0,0
44,10,0,3439,4167.308,4152.821,4157.9490000000005,4193.077,4160.255999999999,4152.821,4148.974,4162.179,4167.0509999999995,4142.821,4169.359,4166.923,4153.205,4155.897,0,0
45,11,0,3459,4167.436,4159.744000000001,4162.821,4193.974,4158.077,4152.436,4150.641,4165.769,4168.974,4137.436,4170.897,4167.436,4154.744000000001,4160.385,0,0
46,12,0,3040,4171.41,4172.308,4175.0,4205.255999999999,4169.487,4161.026,4166.282,4175.0,4187.692,4152.179,4184.487,4175.513,4165.385,4174.744000000001,0,0
47,13,0,3127,4173.462,4169.615,4172.436,4204.231,4178.718,4171.154,4173.462,4176.154,4189.231,4161.282,4183.718,4180.641,4169.359,4174.487,0,0
48,14,0,3439,4160.641,4151.41,4152.9490000000005,4185.513,4157.436,4167.0509999999995,4159.103,4160.0,4161.795,4145.128,4163.077,4164.103,4156.795,4156.667,0,0
49,15,0,3459,4152.436,4148.333,4149.103,4178.205,4149.103,4157.0509999999995,4148.974,4151.154,4156.795,4132.821,4159.487,4153.846,4152.821,4151.41,0,0
50,16,0,0,4154.744000000001,4156.282,4155.513,4183.462,4158.077,4152.692,4146.026,4154.231,4173.974,4137.564,4170.385,4159.615,4156.026,4156.282,0,0
51,17,0,0,4157.179,4152.692,4154.872,4183.59,4138.59,4152.564,4139.103,4152.179,4172.821,4145.255999999999,4166.923,4158.59,4152.564,4154.487,0,0
52,18,0,0,4165.769,4148.974,4160.255999999999,4182.179,4130.128,4160.641,4143.846,4157.692,4166.282,4150.641,4163.333,4161.026,4161.538,4158.205,0,0
53,19,0,0,4172.308,4155.128,4169.744000000001,4182.692,4160.769,4168.462,4151.282,4168.333,4173.205,4154.487,4173.718,4169.744000000001,4171.41,4168.077,0,0
54,20,0,0,4165.128,4156.282,4164.615,4185.641,4174.615,4160.513,4142.9490000000005,4160.769,4176.026,4157.692,4172.179,4163.077,4160.513,4164.359,0,0
55,21,0,0,4155.897,4150.513,4151.795,4183.462,4150.769,4150.128,4135.385,4150.513,4168.846,4155.0,4158.333,4151.026,4152.179,4152.821,0,0
56,22,0,0,4159.872,4156.538,4159.487,4182.564,4150.897,4158.974,4146.154,4163.846,4174.231,4157.692,4167.436,4162.9490000000005,4164.487,4158.462,0,0
57,23,0,0,4175.385,4172.821,4179.744000000001,4191.154,4180.513,4175.0,4158.077,4184.103,4185.385,4173.077,4189.359,4181.41,4183.077,4176.026,0,0
58,24,0,0,4185.0,4174.744000000001,4183.205,4194.487,4177.564,4174.872,4150.128,4184.872,4187.179,4180.769,4187.0509999999995,4176.41,4187.564,4181.154,0,0
