,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,119,0,3202,4177.0509999999995,4159.487,4186.41,4170.128,4166.41,4170.897,4183.718,4198.462,4186.795,4210.128,4185.513,4166.667,4200.255999999999,4190.513,0,0
1,120,0,2959,4177.0509999999995,4155.0,4189.615,4168.974,4166.026,4167.436,4183.846,4199.872,4187.179,4205.255999999999,4190.385,4168.462,4197.436,4199.487,0,0
2,121,0,1817,4179.615,4153.846,4188.077,4171.923,4174.103,4176.667,4180.769,4196.282,4187.821,4204.615,4189.103,4173.205,4198.205,4196.667,0,0
3,122,0,2372,4180.385,4157.0509999999995,4185.128,4170.385,4174.103,4176.41,4172.821,4193.974,4185.255999999999,4203.205,4185.513,4169.744000000001,4197.0509999999995,4190.0,0,0
4,123,0,3202,4171.667,4155.769,4179.872,4168.846,4170.513,4169.487,4180.0,4198.205,4184.615,4203.718,4181.923,4164.872,4191.026,4189.103,0,0
5,124,0,2959,4168.462,4154.103,4177.436,4168.077,4170.385,4170.641,4186.026,4196.026,4183.205,4199.872,4175.255999999999,4164.487,4187.0509999999995,4188.59,0,0
6,125,0,1817,4170.385,4152.179,4178.462,4163.846,4171.282,4172.179,4175.513,4183.974,4177.0509999999995,4189.744000000001,4168.333,4162.436,4186.538,4183.974,0,0
7,126,0,2372,4164.359,4151.795,4174.615,4160.0,4169.744000000001,4167.564,4168.205,4173.974,4170.897,4187.179,4168.462,4158.077,4185.513,4180.513,0,0
8,127,0,51,4159.103,4153.205,4168.205,4157.821,4167.564,4166.154,4163.846,4167.821,4170.255999999999,4190.255999999999,4167.308,4154.103,4185.255999999999,4175.769,0,0
9,0,0,2042,4160.641,4154.359,4166.795,4157.692,4169.872,4169.487,4155.0,4167.564,4173.205,4187.179,4159.359,4153.462,4186.154,4168.846,0,0
10,1,0,2671,4156.667,4154.231,4166.282,4157.821,4171.41,4164.103,4153.333,4165.255999999999,4169.872,4182.179,4154.487,4152.9490000000005,4184.872,4163.718,0,0
11,2,0,3096,4152.692,4153.718,4167.0509999999995,4156.667,4167.9490000000005,4159.231,4158.974,4165.385,4169.744000000001,4183.846,4154.615,4153.974,4183.205,4165.513,0,0
12,3,0,2952,4155.897,4155.0,4168.205,4157.436,4166.154,4165.255999999999,4162.179,4178.333,4181.154,4187.179,4156.282,4151.154,4184.615,4171.154,0,0
13,4,0,3584,4155.0,4154.615,4167.564,4157.692,4168.846,4172.308,4168.846,4187.308,4187.179,4189.615,4154.359,4150.0,4186.026,4170.641,0,0
14,5,0,3062,4151.41,4148.59,4169.872,4157.692,4171.026,4173.974,4176.154,4185.385,4187.692,4194.487,4152.436,4153.974,4187.821,4166.923,0,0
15,6,0,3249,4152.9490000000005,4142.0509999999995,4174.872,4160.897,4170.769,4174.359,4174.744000000001,4187.692,4193.333,4199.231,4159.487,4158.205,4192.692,4166.923,0,0
16,7,0,3326,4150.255999999999,4136.667,4170.897,4158.974,4170.128,4172.308,4170.641,4198.59,4196.795,4206.154,4173.205,4157.0509999999995,4198.077,4172.0509999999995,0,0
17,8,0,2985,4143.205,4129.872,4167.179,4152.436,4166.154,4170.641,4171.795,4201.923,4195.897,4214.103,4184.872,4157.821,4200.385,4180.255999999999,0,0
18,9,0,3565,4140.385,4118.974,4168.718,4148.846,4161.538,4174.359,4175.769,4192.179,4200.255999999999,4218.974,4191.282,4163.077,4199.744000000001,4185.513,0,0
19,10,0,2372,4137.308,4109.231,4166.923,4141.923,4156.538,4171.41,4170.0,4181.154,4197.564,4220.769,4196.538,4165.385,4204.359,4188.333,0,0
20,11,0,3202,4132.9490000000005,4100.897,4166.923,4136.154,4153.077,4166.667,4167.564,4187.179,4196.41,4232.564,4206.923,4165.641,4216.667,4196.538,0,0
21,12,0,2957,4131.795,4092.308,4173.718,4137.692,4156.154,4175.769,4181.41,4203.462,4214.615,4247.308,4217.308,4170.0,4223.077,4206.923,0,0
22,13,0,1814,4127.179,4086.667,4172.9490000000005,4137.436,4156.667,4183.846,4190.385,4205.769,4219.744000000001,4241.41,4216.667,4171.538,4216.026,4201.923,0,0
23,14,0,2372,4124.359,4089.8720000000003,4166.026,4136.667,4155.641,4181.026,4189.744000000001,4206.282,4203.333,4230.0,4213.462,4167.436,4211.923,4186.538,0,0
24,15,0,3202,4134.103,4100.641,4171.026,4143.59,4162.308,4181.538,4196.795,4214.487,4201.282,4234.487,4218.205,4170.769,4216.667,4181.154,0,0
25,16,0,0,4143.846,4108.205,4178.718,4150.255999999999,4171.667,4186.795,4206.41,4217.821,4210.897,4242.564,4222.692,4176.026,4219.103,4187.436,0,0
26,17,0,0,4139.615,4104.744000000001,4177.9490000000005,4148.974,4171.41,4185.769,4200.128,4212.308,4208.077,4237.564,4220.0,4174.359,4217.179,4185.255999999999,0,0
27,18,0,0,4128.718,4096.923,4169.103,4143.974,4167.179,4181.41,4186.026,4205.769,4207.436,4230.0,4215.641,4170.385,4217.436,4171.026,0,0
28,19,0,0,4128.205,4097.821,4168.462,4140.513,4167.821,4181.667,4181.923,4203.59,4221.795,4233.59,4215.128,4171.41,4225.0,4172.179,0,0
29,20,0,0,4138.59,4106.282,4177.308,4143.59,4169.359,4184.103,4188.462,4203.462,4220.385,4239.744000000001,4219.231,4171.667,4223.462,4184.359,0,0
30,21,0,0,4142.692,4108.718,4181.41,4147.564,4170.385,4184.487,4195.769,4198.718,4193.205,4230.0,4218.974,4173.205,4204.872,4179.359,0,0
31,22,0,0,4133.846,4102.692,4175.385,4143.462,4170.385,4184.103,4202.179,4204.744000000001,4183.846,4215.385,4213.077,4175.513,4194.359,4170.128,0,0
32,23,0,0,4127.692,4099.487,4167.821,4137.821,4166.923,4183.205,4201.923,4226.026,4210.513,4222.564,4212.9490000000005,4175.769,4200.255999999999,4172.692,0,0
33,24,0,0,4125.513,4103.077,4160.897,4137.821,4163.205,4181.282,4187.692,4221.667,4221.795,4234.103,4215.897,4170.255999999999,4205.641,4167.9490000000005,0,0
34,25,0,0,4121.154,4104.103,4156.538,4137.564,4165.128,4183.59,4179.615,4197.692,4203.462,4230.897,4212.564,4162.0509999999995,4207.564,4157.692,0,0
35,26,0,0,4126.538,4105.385,4159.359,4137.179,4169.744000000001,4186.41,4188.59,4197.692,4205.385,4228.59,4210.769,4162.308,4209.103,4163.846,0,0
